Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked_Q,Embarked_S
0,3,1,-0.8071621255659448,1,0,-0.6327315122075411,False,True
1,3,0,-0.44584397643723644,0,0,-0.5791869192196212,False,True
1,1,0,0.36712185910235723,1,0,3.004334544823764,False,True
0,3,1,0.36712185910235723,0,0,-0.5692712538514878,False,True
0,3,1,-0.2651849018728823,0,0,-0.5368827244930171,True,False
0,1,1,2.0833830674637217,0,0,2.906169457679244,False,True
1,2,0,-1.5297984238233613,1,0,1.1775358176572353,False,False
1,1,0,2.44470121659243,0,0,0.8982472206322449,False,True
0,3,1,-0.987821200130299,0,0,-0.5692712538514878,False,True
0,3,0,-1.5297984238233613,0,0,-0.5848031520841319,False,True
1,2,0,2.173712604745899,0,0,0.06136506356179191,False,True
1,2,1,-0.2651849018728823,0,0,-0.17661090527340798,False,True
0,3,0,0.00580370997364894,1,0,0.22001570945192517,False,True
1,3,0,-0.2651849018728823,0,0,-0.6347146452811678,False,False
0,2,1,0.36712185910235723,0,0,0.8546182930124582,False,True
1,2,1,0.27679232182018015,0,0,-0.17661090527340798,False,True
1,3,0,-1.4394688865411842,0,0,-0.5709212205687453,True,False
1,1,1,-0.2651849018728823,0,0,1.6082088609905911,False,True
0,3,1,-0.2651849018728823,0,0,-0.6347146452811678,False,False
1,3,0,-0.2651849018728823,0,0,-0.5828200190105052,True,False
0,3,1,-0.2651849018728823,0,0,-0.5815032186496171,False,True
0,1,1,0.8187695455132427,0,0,0.991121308736329,False,False
1,3,0,-0.2651849018728823,0,0,-0.5930688507350078,True,False
0,2,1,3.1673375148498466,0,0,-0.37492421263607456,False,True
0,1,1,0.9994286200775968,1,0,2.917076689584191,False,True
1,3,1,-0.2651849018728823,0,0,-0.6343814789247986,False,False
0,3,1,-0.8974916628481219,0,0,-0.5692712538514878,False,True
0,3,0,-1.168480274694653,2,0,0.22001570945192517,False,True
1,3,0,-1.5297984238233613,1,0,-0.31608862060771864,False,False
0,3,0,0.8187695455132427,1,0,-0.4562326686547679,False,True
0,2,0,-0.35551443915505937,1,0,0.45799167828712506,False,True
0,3,1,-0.2651849018728823,0,0,-0.5815032186496171,False,False
